1, 6, 333, 231, 20, 9, 1, -1, -1, -1
1, 5, 359, 253, 23, 14, 1, -1, -1, -1
1, 4, 369, 265, 23, 9, 1, -1, -1, -1
1, 3, 393, 275, 12, 10, 1, -1, -1, -1
1, 7, 231, 267, 75, 18, 1, -1, -1, -1
1, 8, 194, 198, 101, 113, 1, -1, -1, -1
1, 1, 433, 232, 67, 113, 1, -1, -1, -1
1, 2, 343, 0, 39, 170, 1, -1, -1, -1
2, 6, 332, 231, 21, 8, 1, -1, -1, -1
2, 5, 358, 252, 24, 15, 1, -1, -1, -1
2, 4, 368, 266, 23, 7, 1, -1, -1, -1
2, 3, 393, 275, 12, 10, 1, -1, -1, -1
2, 7, 231, 267, 74, 18, 1, -1, -1, -1
2, 8, 195, 197, 100, 112, 1, -1, -1, -1
2, 1, 436, 240, 62, 107, 1, -1, -1, -1
2, 2, 344, 0, 39, 168, 1, -1, -1, -1
3, 6, 332, 231, 21, 8, 1, -1, -1, -1
3, 5, 359, 252, 23, 15, 1, -1, -1, -1
3, 4, 368, 266, 23, 7, 1, -1, -1, -1
3, 3, 393, 275, 12, 10, 1, -1, -1, -1
3, 7, 232, 267, 73, 18, 1, -1, -1, -1
3, 8, 195, 197, 100, 112, 1, -1, -1, -1
3, 1, 436, 233, 62, 112, 1, -1, -1, -1
3, 2, 344, 0, 39, 170, 1, -1, -1, -1
4, 6, 332, 231, 21, 8, 1, -1, -1, -1
4, 5, 359, 252, 23, 15, 1, -1, -1, -1
4, 4, 368, 266, 23, 7, 1, -1, -1, -1
4, 3, 393, 275, 12, 9, 1, -1, -1, -1
4, 7, 232, 267, 73, 18, 1, -1, -1, -1
4, 8, 195, 197, 100, 112, 1, -1, -1, -1
4, 1, 434, 230, 68, 114, 1, -1, -1, -1
4, 2, 345, 0, 39, 171, 1, -1, -1, -1
5, 6, 332, 231, 21, 8, 1, -1, -1, -1
5, 5, 359, 252, 23, 15, 1, -1, -1, -1
5, 4, 368, 266, 23, 7, 1, -1, -1, -1
5, 3, 393, 275, 12, 9, 1, -1, -1, -1
5, 7, 231, 267, 74, 18, 1, -1, -1, -1
5, 8, 194, 197, 101, 112, 1, -1, -1, -1
5, 1, 435, 240, 60, 103, 1, -1, -1, -1
5, 2, 347, 0, 40, 172, 1, -1, -1, -1
6, 6, 332, 231, 21, 8, 1, -1, -1, -1
6, 5, 358, 252, 24, 15, 1, -1, -1, -1
6, 4, 368, 266, 23, 7, 1, -1, -1, -1
6, 3, 393, 275, 12, 9, 1, -1, -1, -1
6, 7, 231, 267, 74, 18, 1, -1, -1, -1
6, 8, 194, 197, 101, 112, 1, -1, -1, -1
6, 1, 437, 240, 60, 105, 1, -1, -1, -1
6, 2, 346, 0, 41, 172, 1, -1, -1, -1
7, 6, 332, 231, 21, 8, 1, -1, -1, -1
7, 5, 358, 252, 24, 16, 1, -1, -1, -1
7, 4, 368, 266, 23, 7, 1, -1, -1, -1
7, 3, 393, 275, 12, 9, 1, -1, -1, -1
7, 7, 231, 267, 74, 18, 1, -1, -1, -1
7, 8, 194, 197, 101, 112, 1, -1, -1, -1
7, 1, 435, 229, 68, 116, 1, -1, -1, -1
7, 2, 348, 0, 40, 174, 1, -1, -1, -1
8, 6, 332, 231, 21, 8, 1, -1, -1, -1
8, 5, 358, 252, 24, 16, 1, -1, -1, -1
8, 4, 368, 266, 23, 7, 1, -1, -1, -1
8, 3, 393, 275, 12, 9, 1, -1, -1, -1
8, 7, 231, 267, 74, 18, 1, -1, -1, -1
8, 8, 194, 197, 101, 112, 1, -1, -1, -1
8, 1, 434, 238, 62, 107, 1, -1, -1, -1
8, 2, 348, 0, 42, 177, 1, -1, -1, -1
9, 6, 332, 231, 21, 8, 1, -1, -1, -1
9, 5, 358, 252, 24, 16, 1, -1, -1, -1
9, 4, 368, 266, 23, 7, 1, -1, -1, -1
9, 3, 393, 275, 12, 9, 1, -1, -1, -1
9, 7, 231, 268, 74, 17, 1, -1, -1, -1
9, 8, 194, 197, 101, 112, 1, -1, -1, -1
9, 1, 438, 243, 55, 98, 1, -1, -1, -1
9, 2, 348, 0, 43, 177, 1, -1, -1, -1
10, 6, 332, 231, 21, 8, 1, -1, -1, -1
10, 5, 358, 252, 24, 16, 1, -1, -1, -1
10, 4, 368, 266, 23, 7, 1, -1, -1, -1
10, 3, 393, 275, 12, 9, 1, -1, -1, -1
10, 7, 232, 268, 73, 17, 1, -1, -1, -1
10, 8, 194, 197, 101, 112, 1, -1, -1, -1
10, 1, 436, 246, 62, 99, 1, -1, -1, -1
10, 2, 347, 0, 43, 178, 1, -1, -1, -1
11, 6, 332, 231, 21, 8, 1, -1, -1, -1
11, 5, 359, 252, 23, 16, 1, -1, -1, -1
11, 4, 368, 266, 23, 7, 1, -1, -1, -1
11, 3, 393, 275, 12, 9, 1, -1, -1, -1
11, 7, 231, 268, 74, 17, 1, -1, -1, -1
11, 8, 194, 197, 101, 112, 1, -1, -1, -1
11, 1, 435, 245, 55, 102, 1, -1, -1, -1
11, 2, 347, 2, 44, 177, 1, -1, -1, -1
12, 6, 331, 231, 22, 8, 1, -1, -1, -1
12, 5, 359, 252, 23, 16, 1, -1, -1, -1
12, 4, 368, 266, 23, 7, 1, -1, -1, -1
12, 3, 393, 275, 12, 9, 1, -1, -1, -1
12, 7, 232, 267, 73, 18, 1, -1, -1, -1
